# ----------------------------------------------------------------------------------------
# MC format:
#   Dataset ID | cross section [fb] | number of events | gen. filt. eff | physics name
# Data format:
#   Dataset ID | luminosity [pb-1] | Data
# ----------------------------------------------------------------------------------------

# ========================================================================================
# Data driven backgrounds
# ----------------------------------------------------------------------------------------
305481, 4.0188000e+02,    20000, 1.6566e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mRp95_mD10_gSp3_gD1
305482, 1.2385000e+02,    18000, 1.9961e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mR1p5_mD10_gSp4_gD1
305483, 6.8465000e+01,    20000, 2.0401e-01, MGPy8EG_N30LO_A14N23LO_dmA_jja_Ph100_mR1p5_mD10_gSp3_gD1


# ========================================================================================
# ISR jet signals
# ----------------------------------------------------------------------------------------
305534, 1.9994000e+05,    20000, 5.3009e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp25_mD10_gSp1_gD1
305535, 8.0082000e+05,    38000, 5.2918e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp25_mD10_gSp2_gD1
305536, 1.8027000e+06,    49000, 5.2462e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp25_mD10_gSp3_gD1
305537, 3.1994000e+06,    48000, 5.2099e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp25_mD10_gSp4_gD1
305538, 7.3905000e+04,    20000, 1.2287e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp35_mD10_gSp1_gD1
305539, 2.9611000e+05,    39000, 1.2278e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp35_mD10_gSp2_gD1
305540, 6.6747000e+05,    47000, 1.2462e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp35_mD10_gSp3_gD1
305541, 1.1888000e+06,    48000, 1.2640e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp35_mD10_gSp4_gD1
305542, 3.2145000e+04,    20000, 2.8313e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp45_mD10_gSp1_gD1
#305543, 1.2883000e+05,    40000, 2.8370e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp45_mD10_gSp2_gD1
305544, 2.9082000e+05,    49000, 2.8818e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp45_mD10_gSp3_gD1
305545, 5.1883000e+05,    48000, 3.0227e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp45_mD10_gSp4_gD1
305546, 1.6120000e+04,    19000, 6.2065e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp55_mD10_gSp1_gD1
305547, 6.4594000e+04,    39000, 6.2458e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp55_mD10_gSp2_gD1
305548, 1.4597000e+05,    49000, 6.3853e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp55_mD10_gSp3_gD1
305549, 2.6090000e+05,    49000, 6.6047e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350_mRp55_mD10_gSp4_gD1

306113, 5.1853000e+06,    49000, 1.0014e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp030_gSp5
306114, 4.8966000e+06,    50000, 1.0474e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp040_gSp5
306115, 4.5898000e+06,    48000, 1.0981e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp050_gSp5
306116, 4.2893000e+06,    49000, 1.1446e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp060_gSp5
306117, 3.7709000e+06,    50000, 1.2190e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp080_gSp5
306118, 3.4021000e+06,    50000, 1.2439e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp100_gSp5
306119, 3.0899000e+06,    50000, 1.1743e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp130_gSp5
306120, 3.1420000e+06,    50000, 1.0410e-02, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp160_gSp5
306121, 3.5859000e+06,    50000, 8.4511e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp190_gSp5
306122, 3.3632000e+06,    50000, 8.4067e-03, MGPy8EG_N30LO_A14N23LO_dmA_jjj_Jet350P100_mRp220_gSp5


# ========================================================================================
# Sherpa multijets
# ----------------------------------------------------------------------------------------
426131, 2.0595000e+13,  2927000, 8.5730e-02, Sherpa_CT10_jets_JZ1
426132, 1.0729000e+11,  1970000, 1.4170e-01, Sherpa_CT10_jets_JZ2
426133, 1.3075000e+10,  1886995, 1.8538e-02, Sherpa_CT10_jets_JZ3
426134, 9.6076000e+07,  1984000, 2.7758e-02, Sherpa_CT10_jets_JZ4
426135, 2.7250000e+06,  1961500, 1.8391e-02, Sherpa_CT10_jets_JZ5
426136, 2.0862000e+05,  1965800, 8.6905e-03, Sherpa_CT10_jets_JZ6
426137, 4.3733000e+04,   963000, 3.0859e-03, Sherpa_CT10_jets_JZ7
426138, 3.3372000e+02,   987400, 1.4505e-02, Sherpa_CT10_jets_JZ8
426139, 5.8952000e+01,   479100, 3.0666e-03, Sherpa_CT10_jets_JZ9
426140, 5.5732000e+00,   452500, 9.4788e-04, Sherpa_CT10_jets_JZ10
426141, 1.2593000e-01,   492550, 7.0498e-04, Sherpa_CT10_jets_JZ11
426142, 1.1029000e-03,   482300, 4.6255e-04, Sherpa_CT10_jets_JZ12


# ========================================================================================
# Pythia multijets
# ----------------------------------------------------------------------------------------
361020, 7.8420000e+13,  1999400, 1.0240e+00, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ0W
361021, 7.8420000e+13,  1999000, 6.7075e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W
361022, 2.4332000e+12,  1994600, 3.3264e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W
361023, 2.6454000e+10,  7884500, 3.1963e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W
361024, 2.5463000e+08,  7979800, 5.3015e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W
361025, 4.5535000e+06,  7977600, 9.2196e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W
361026, 2.5753000e+05,  1893400, 9.4016e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W
361027, 1.6215000e+04,  1770200, 3.9216e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W
361028, 6.2502000e+02,  1743200, 1.0167e-02, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W
361029, 1.9639000e+01,  1813200, 1.2058e-02, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ9W
361030, 1.1962000e+00,  1996000, 5.8966e-03, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ10W
361031, 4.2258000e-02,  1993200, 2.7015e-03, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ11W
361032, 1.0367000e-03,  1974600, 4.2502e-04, Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W


# ========================================================================================
# Sherpa gamma + jets
# ----------------------------------------------------------------------------------------
361039, 3.4988000e+07, 19956800, 4.1028e-01, Sherpa_CT10_SinglePhotonPt35_70_CVetoBVeto
361040, 3.4986000e+07,  9981800, 4.8610e-01, Sherpa_CT10_SinglePhotonPt35_70_CFilterBVeto
361041, 3.5002000e+07,  1995800, 1.0752e-01, Sherpa_CT10_SinglePhotonPt35_70_BFilter
361042, 3.1290000e+06,  1999200, 3.9960e-01, Sherpa_CT10_SinglePhotonPt70_140_CVetoBVeto
361043, 3.1329000e+06,  1997400, 4.8201e-01, Sherpa_CT10_SinglePhotonPt70_140_CFilterBVeto
361044, 3.1352000e+06,   499400, 1.1728e-01, Sherpa_CT10_SinglePhotonPt70_140_BFilter
361045, 2.4741000e+05,  9976800, 4.1049e-01, Sherpa_CT10_SinglePhotonPt140_280_CVetoBVeto
361046, 2.4739000e+05,  1993200, 5.0284e-01, Sherpa_CT10_SinglePhotonPt140_280_CFilterBVeto
361047, 2.4937000e+05,   997600, 1.2874e-01, Sherpa_CT10_SinglePhotonPt140_280_BFilter
361048, 1.3648000e+04,   997200, 4.1834e-01, Sherpa_CT10_SinglePhotonPt280_500_CVetoBVeto
361049, 1.3617000e+04,   500000, 4.7349e-01, Sherpa_CT10_SinglePhotonPt280_500_CFilterBVeto
361050, 1.3874000e+04,    99800, 1.4040e-01, Sherpa_CT10_SinglePhotonPt280_500_BFilter
361051, 9.2334000e+02,   200000, 3.7922e-01, Sherpa_CT10_SinglePhotonPt500_1000_CVetoBVeto
361052, 9.2185000e+02,   100000, 4.7149e-01, Sherpa_CT10_SinglePhotonPt500_1000_CFilterBVeto
361053, 9.3819000e+02,    20000, 1.4811e-01, Sherpa_CT10_SinglePhotonPt500_1000_BFilter
361054, 1.8432000e+01,   100000, 3.6961e-01, Sherpa_CT10_SinglePhotonPt1000_2000_CVetoBVeto
361055, 1.8388000e+01,    50000, 4.6932e-01, Sherpa_CT10_SinglePhotonPt1000_2000_CFilterBVeto
361056, 1.9046000e+01,    10000, 1.5750e-01, Sherpa_CT10_SinglePhotonPt1000_2000_BFilter
361057, 7.9682000e-02,   101000, 3.6729e-01, Sherpa_CT10_SinglePhotonPt2000_4000_CVetoBVeto
361058, 8.0331000e-02,      600, 4.6642e-01, Sherpa_CT10_SinglePhotonPt2000_4000_CFilterBVeto
361059, 8.2035000e-02,    10000, 1.6958e-01, Sherpa_CT10_SinglePhotonPt2000_4000_BFilter
361060, 2.4843000e-06,     1000, 4.0351e-01, Sherpa_CT10_SinglePhotonPt4000_CVetoBVeto
361061, 2.5134000e-06,      800, 4.1612e-01, Sherpa_CT10_SinglePhotonPt4000_CFilterBVeto
361062, 2.5431000e-06,     1000, 1.4831e-01, Sherpa_CT10_SinglePhotonPt4000_BFilter


# ========================================================================================
# Sherpa V(had.) + jets
# ----------------------------------------------------------------------------------------
#304307, 2.9504000e+04,   148000, 1.0000e+00, Sherpa_CT10_Wqq_Pt280_500
#304308, 2.1559000e+03,    29000, 1.0000e+00, Sherpa_CT10_Wqq_Pt500_1000
#304309, 4.6461000e+01,    15000, 1.0000e+00, Sherpa_CT10_Wqq_Pt1000

#304707, 1.2575000e+04,    74000, 1.0000e+00, Sherpa_CT10_Zqq_Pt280_500
#304708, 9.0350000e+02,    15000, 1.0000e+00, Sherpa_CT10_Zqq_Pt500_1000
#304709, 1.8584000e+01,     6000, 1.0000e+00, Sherpa_CT10_Zqq_Pt1000


# ========================================================================================
# Pythia V(had.) + jets
# ----------------------------------------------------------------------------------------
304623, 2.3146000e+04,   148000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_WHad_280_500
304624, 1.4823000e+03,    38000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_WHad_500_700
304625, 2.7757000e+02,    30000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_WHad_700_1000
304626, 3.5315000e+01,    30000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_WHad_1000_1400
304627, 3.8008000e+00,    19000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_WHad_1400

304628, 1.0455000e+04,    75000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_ZHad_280_500
304629, 6.7488000e+02,    19000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_ZHad_500_700
304630, 1.2507000e+02,    14000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_ZHad_700_1000
304631, 1.5797000e+01,    14000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_ZHad_1000_1400
304632, 1.7050000e+00,    10000, 1.0000e+00, Pythia8EvtGen_A14NNPDF23LO_ZHad_1400


# ========================================================================================
# Sherpa V(had.) + gamma
# ----------------------------------------------------------------------------------------
305435, 1.6606000e+03,   196000, 1.0000e+00, Sherpa_CT10_WqqGammaPt140_280
305436, 2.4311000e+02,    96000, 1.0000e+00, Sherpa_CT10_WqqGammaPt280_500
305437, 3.7897000e+01,    97000, 1.0000e+00, Sherpa_CT10_WqqGammaPt500_1000
305438, 1.8156000e+00,    76000, 1.0000e+00, Sherpa_CT10_WqqGammaPt1000_2000
305439, 1.6968000e-02,    10000, 1.0000e+00, Sherpa_CT10_WqqGammaPt2000_inf

305440, 6.5757000e+02,   198000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt140_280
305441, 7.7020000e+01,    98000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt280_500
305442, 1.0438000e+01,    97000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt500_1000
305443, 4.6266000e-01,    79000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt1000_2000
305444, 4.2910000e-03,    10000, 1.0000e+00, Sherpa_CT10_ZqqGammaPt2000_inf


# ========================================================================================
# ttbar
# ----------------------------------------------------------------------------------------
410000, 6.9611000e+05, 49386600, 5.4383e-01, PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad


# ========================================================================================
# Data (2015)
# ----------------------------------------------------------------------------------------
276262, 6.166897, Data
276329, 11.7065, Data
276336, 0.673924, Data
276416, 4.21279, Data
276511, 8.76604, Data
276689, 10.656495, Data
276778, 0.657529, Data
276790, 1.59535, Data
276952, 6.47731, Data
276954, 0.73329, Data
278880, 21.41921, Data
278912, 19.633223, Data
278968, 9.883003, Data
279169, 55.00551, Data
279259, 7.31293, Data
279279, 16.897099, Data
279284, 31.8164, Data
279345, 52.683661, Data
279515, 0.347662, Data
279598, 67.85899, Data
279685, 74.470953, Data
279813, 47.616706, Data
279867, 29.5636, Data
279928, 1.09603, Data
279932, 44.64153, Data
279984, 65.27506, Data
280231, 88.284052, Data
280273, 1.62778, Data
280319, 93.6371, Data
280368, 8.227303, Data
280423, 68.57333, Data
280464, 58.3428, Data
280500, 7.27397, Data
280520, 12.1184834, Data
280614, 24.23566, Data
280673, 149.0631, Data
280753, 45.214597, Data
280853, 7.21388, Data
